date,donee,donee_url,description,program_area,focus,amount
04/2019,New England Grassroots Environment Fund,http://www.grassrootsfund.org/,"To expand funding of grassroots groups in marginalized communities, educate funding partners and donors about how and why to center their investments on equity and just transition, help more traditional funders become comfortable with participatory grantmaking processes, and support the Seed, Grow, and Young Leader work.",Special Opportunities,,"$100,000"
03/2019,University of Wisconsin-Madison Waisman Center,http://www.waisman.wisc.edu/,To establish high-quality stem cell lines from people with Fragile X for use in future research.,Developmental Disabilities,Translational Research Program,"$245,000"
03/2019,Maine Organic Farmers and Gardeners Association,http://www.mofga.org/,"To ensure that Maine farmers and food producers are able to ramp up production, particularly in Aroostook County, as demand increases for healthy, sustainable, and organic food throughout the region.",Regional Food Systems,,"$30,000"
03/2019,Maine Farmland Trust,http://www.mainefarmlandtrust.org/,"To help more farmers scale up for the wholesale market, thereby helping to expand local and regional markets and the farming sector in Maine.",Regional Food Systems,,"$40,000"
03/2019,The Carrot Project,http://www.thecarrotproject.org/,To progress from initial visioning and planning to collaborative implementation of a new business model for The Blueprint.,Regional Food Systems,,"$40,000"
03/2019,Vermont Sustainable Jobs Fund,http://www.vsjf.org/,To support the Vermont Farm to Plate Network and to support the New England states’ Food System Planning Community of Practice.,Regional Food Systems,,"$125,000"
03/2019,Massachusetts Food System Collaborative,http://www.mafoodsystem.org/,"To work toward a more equitable and sustainable food system for the state by promoting, monitoring, and facilitating implementation of the Massachusetts Local Food Action Plan.",Regional Food Systems,,"$40,000"
03/2019,WE ACT for Environmental Justice,http://www.weact.org/,"To reduce exposure to PFAS, especially among low-income communities of color.",Health and Environment,,"$50,000"
03/2019,Clean Production Action,http://www.cleanproduction.org/,"To support the Chemical Footprint Project, which works to transform how corporations set management policies, manage supply chains, select and use chemicals and materials, and publicly report on their progress away from toxic chemicals.",Health and Environment,,"$180,000"
03/2019,Safer States,http://www.saferstates.org/,To support core state policy reform and market-based activities and provide additional resources to distribute to state coalitions working on safer chemicals policy.,Health and Environment,,"$250,000"
03/2019,Center for Environmental Health,http://www.ceh.org/,To reduce exposure to hormone-disrupting chemicals by leveraging the buying power of large purchasers and protecting environmental health policies and programs.,Health and Environment,,"$55,000"
03/2019,Kitchen Table Campaigns,http://www.saferchemicals.org/,"To support Safer Chemicals, Healthy Families’ efforts to educate the public about federal chemicals policy and to significantly improve chemicals management of the largest retailers in the United States.",Health and Environment,,"$350,000"
03/2019,Sierra Club Foundation,http://www.sierraclubfoundation.org/,To accelerate electric vehicle adoption in the Northeast.,Clean Energy,Transportation,"$90,000"
03/2019,Natural Resources Council of Maine,http://www.nrcm.org/,"To expand support for and investments in energy efficiency, renewable energy, clean transportation, and climate action in Maine.",Clean Energy,,"$75,000"
03/2019,Clean Energy New Hampshire,http://www.cleanenergynh.org/,To protect and expand clean energy and energy efficiency policies in New Hampshire.,Clean Energy,,"$50,000"
03/2019,Connecticut Roundtable on Climate and Jobs,http://www.ctclimateandjobs.org/,To advocate for climate and clean energy policies supported by labor and justice groups.,Clean Energy,,"$30,000"
03/2019,Environment America Research and Policy Center,http://www.environmentamericacenter.org/,To build the political will to secure commitments for 100 percent renewable energy to meet all of New England’s energy needs and secure interim policy progress toward that goal.,Clean Energy,,"$50,000"
03/2019,Conservation Law Foundation,http://www.clf.org/,To decarbonize New England’s energy system in accord with climate imperatives.,Clean Energy,Reduce Fossil Fuel Use,"$325,000"
03/2019,Clean Water Fund,http://www.cleanwaterfund.org/,"To support Massachusetts Power Forward, a statewide grassroots campaign to stop expansion of fossil fuel infrastructure and commit to aggressive clean energy policies that meet environmental justice and climate goals.",Clean Energy,Reduce Fossil Fuel Use,"$100,000"
03/2019,Pipeline Awareness Network of the Northeast,http://www.plan-ne.org/,To prevent unneeded natural gas development in New England.,Clean Energy,Reduce Fossil Fuel Use,"$25,000"
02/2019,Merck Family Fund,http://www.merckff.org,To produce a study of mass transit costs in the United States.,Clean Energy,Transportation,"$10,000"
01/2019,Northeast Sustainable Agriculture Working Group,http://www.nescaum.org/,To update “It Takes a Region: Exploring a Regional Food Systems Approach.”,Regional Food Systems,,"$5,000"
01/2019,Energy Foundation,http://www.ef.org,"To organize a third national electric vehicles advocates meeting in Ann Arbor, Michgan.",Clean Energy,Transportation,"$5,000"
12/2018,"University of California, Davis",http://www.health.ucdavis.edu/mindinstitute/research/hessl/ourteam.html,"To mine data from Dr. David Hessl’s original study using computer-based cognitive training for young people with Fragile X syndrome, in order to glean more insight about what factors contribute to improved working memory and executive function in study participants.",Developmental Disabilities,,"$181,500"
12/2018,CommonWealth Kitchen,http://www.commonwealthkitchen.org/,"To collaborate with Boston-area anchor institutions to create sales opportunities for regional farms and small and diverse food businesses, and scale up manufacturing operations so it can sustain itself from earned income within five years.",Regional Food Systems,,"$60,000"
12/2018,Massachusetts Farm to School,http://www.massfarmtoschool.org/,To expand local food purchasing and education at schools throughout Massachusetts by generating further public investment for farm to school programs.,Regional Food Systems,,"$30,000"
12/2018,Land for Good,http://www.landforgood.org/,To improve farmland access and transfer for beginning and established farmers in New England.,Regional Food Systems,,"$30,000"
12/2018,Migrant Justice,http://www.migrantjustice.net/,To transform the dairy industry through worker-driven social responsibility that compels dairy brands to ensure respect for human rights in their supply chains.,Regional Food Systems,,"$55,000"
12/2018,Cooperative Development Institute,http://www.cdi.coop/,"To support new American farmers and food leaders in achieving greater economic security and opportunity by increasing revenue from wholesale markets, securing funding and financing, and becoming more integrated and active in the local and regional food system.",Regional Food Systems,,"$40,000"
12/2018,Northeast Sustainable Agriculture Working Group,http://www.nesawg.org/,To support food systems practitioners in becoming more effective policy advocates by strengthening their relationships with state agricultural commissioners and increasing their ability to take action toward racial justice and equity in the food system.,Regional Food Systems,,"$40,000"
12/2018,Health and Environmental Funders Network,http://www.hefn.org/,To work with a select number of NGO leaders working on toxic chemicals to create a two-year collaborative donor prospecting and recruitment pilot program.,Health and Environment,,"$120,000"
12/2018,Healthy Babies Bright Futures,http://www.hbbf.org,"To position each HBBF program’s content and strategies within, or in partnership with, other organizations to focus collective power to lower babies’ exposures to neurotoxic chemicals.",Health and Environment,,"$250,000"
12/2018,Oregon Environmental Council,http://www.oeconline.org/,To secure strong implementation of Oregon’s Toxic-Free Kids Act and launch the nation’s most forward-looking state Healthy Purchasing Program.,Health and Environment,,"$50,000"
12/2018,Toxic-Free Future,http://www.toxicfreefuture.org/,"To protect human health and the environment from the impacts of PFAS chemicals, toxic flame retardants, phthalates, and lead via market and policy change.",Health and Environment,,"$225,000"
12/2018,Earthjustice,http://www.earthjustice.org/,"To press the EPA to interpret, implement, and enforce the Chemical Safety Act in the most health-protective manner the revised law allows.",Health and Environment,,"$100,000"
12/2018,Meridian Institute,http://www.merid.org,"In partnership with the National Caucus of Environmental Legislators, to assist lawmakers in Northeast states to expand their understanding of and support for regionally-coordinated carbon pricing policies.",Clean Energy,,"$50,000"
12/2018,Plug In America,http://www.pluginamerica.org/,To achieve mass electric vehicle adoption in the Northeast by facilitating utility and PUC involvement in building a transportation infrastructure that provides a seamless electric vehicle driving experience.,Clean Energy,Transportation,"$90,000"
12/2018,Vermont Energy Investment Corporation,http://www.veic.org/,To accelerate the deployment of plug-in electric vehicles and infrastructure in Vermont.,Clean Energy,Transportation,"$90,000"
12/2018,Ceres,http://www.ceres.org,To deploy business and investor leaders in Massachusetts and New Hampshire to defend and advance climate and clean energy policies.,Clean Energy,,"$70,000"
12/2018,Acadia Center,http://www.acadiacenter.org,To sustain New England as a leader on clean energy.,Clean Energy,,"$314,000"
12/2018,Vermont Public Interest Research and Education Fund,http://www.vpirg.org,"To advance 100 percent renewable energy, expand efficiency and electrification, and reject new fossil fuel infrastructure in Vermont.",Clean Energy,,"$50,000"
12/2018,Connecticut Fund for the Environment,http://www.ctenvironment.org/,To ensure Connecticut achieves long-term climate goals by developing clean distributed energy and energy efficiency; and accelerating electric vehicle adoption.,Clean Energy,,"$100,000"
09/2018,Real Food Challenge,http://www.realfoodchallenge.org/,"To demand that the three largest food service management companies (Sodexo, Aramark, and Compass Group) shift to a purchasing system that is oriented toward “real food” and phase out corporate kickbacks.",Regional Food Systems,,"$85,000"
09/2018,Northeast Organic Farming Association of Vermont,http://www.nofavt.org/,To explore how to help Vermont and New England farmers and food producers enter the wholesale market.,Regional Food Systems,,"$40,000"
09/2018,Red Tomato,http://www.redtomato.org,"To grow and diversify sales to institutions and engage in Northeast efforts to increase engagement with individual campuses, regional supply chain facilitators, and corporate purchasers.",Regional Food Systems,,"$50,000"
